number,cohort,state,base,head,head_repo,head_sha,author,title,url,disposition_category,port_first_action
"1075","interface-wallet-target","MERGED","interface-wallet","benchmarkImportAccountAPI","mohamedawnallah/btcwallet","e6cf8f3a858d1577e7b9ccefe74927c2651ee9e5","mohamedawnallah","wallet: Benchmark `AccountManager` interface refactor","https://github.com/btcsuite/btcwallet/pull/1075","test-tooling","salvage-selectively"
"1076","interface-wallet-target","MERGED","interface-wallet","txpublisher-interface","yyforyongyu/btcwallet","3c66ae52b9ce1cdd188e286d3dc64e977c7acae1","yyforyongyu"," wallet: add `TxPublisher` and `TxCreator` interfaces","https://github.com/btcsuite/btcwallet/pull/1076","public-refactor","defer-post-port"
"1084","interface-wallet-target","MERGED","interface-wallet","fix-linter-errors","yyforyongyu/btcwallet","e6c952f62d5953322f7779db3a0d04505e2effa0","yyforyongyu","multi: fix linter errors from account manager interface","https://github.com/btcsuite/btcwallet/pull/1084","test-tooling","salvage-selectively"
"1085","interface-wallet-target","MERGED","interface-wallet","benchmark-address-manager-refactor","mohamedawnallah/btcwallet","715245d3e65149889cfa05a97f95a4b872e5512a","mohamedawnallah","wallet: Benchmark `AddressManager` interface refactor","https://github.com/btcsuite/btcwallet/pull/1085","test-tooling","salvage-selectively"
"1091","interface-wallet-target","MERGED","interface-wallet","txreader-interface","yyforyongyu/btcwallet","071e0fd3167ec71808d929510738a3a6d7b46d4a","yyforyongyu"," wallet: add `TxReader` and `TxWriter` interfaces","https://github.com/btcsuite/btcwallet/pull/1091","public-refactor","defer-post-port"
"1092","interface-wallet-target","MERGED","interface-wallet","signer-interface","yyforyongyu/btcwallet","ff386bdfca717f8cb2115c166eae80ae62514e93","yyforyongyu","wallet: add `Signer` interface","https://github.com/btcsuite/btcwallet/pull/1092","public-refactor","defer-post-port"
"1095","interface-wallet-target","CLOSED","interface-wallet","tests/unit/AddressManager","GustavoStingelin/btcwallet","5af043acfd2e02788a5df0cdc831d3ca9bcdd480","GustavoStingelin","wallet: test AddressManager against old API","https://github.com/btcsuite/btcwallet/pull/1095","test-tooling","salvage-selectively"
"1100","interface-wallet-target","MERGED","interface-wallet","benchmark-utxo-interface-refactor","mohamedawnallah/btcwallet","7e1e3e50bacaa6754fbf1814abb8567d714ce106","mohamedawnallah","wallet: Benchmark `UtxoManager` interface refactor","https://github.com/btcsuite/btcwallet/pull/1100","test-tooling","salvage-selectively"
"1108","interface-wallet-target","MERGED","interface-wallet","benchmark-tx-publisher-creator-interface-refactors","mohamedawnallah/btcwallet","5a2880b106f1eaeda92df03ac5b265a9442cb172","mohamedawnallah","wallet: Benchmark `TxPublisher` and `TxCreator` interface refactors","https://github.com/btcsuite/btcwallet/pull/1108","test-tooling","salvage-selectively"
"1110","interface-wallet-target","OPEN","interface-wallet","sql-wallet","btcsuite/btcwallet","7e1ac7570d099e8985aec00d77ee3383c0a1cadb","yyforyongyu"," [draft]: Introduce SQL schema for wallet","https://github.com/btcsuite/btcwallet/pull/1110","superseded-work","source-only"
"1118","interface-wallet-target","MERGED","interface-wallet","benchmark-tx-reader-writer-interface","mohamedawnallah/btcwallet","7400e8ca6778ea512aef3b7c2b0d1be341deb683","mohamedawnallah","wallet: Benchmark `TxReader` and `TxWriter` interface refactors","https://github.com/btcsuite/btcwallet/pull/1118","test-tooling","salvage-selectively"
"1126","interface-wallet-target","MERGED","interface-wallet","benchmark-signer-interface","mohamedawnallah/btcwallet","b6829be994aaa62b6c976cbfd8e86cefbcd1bc18","mohamedawnallah","Benchmark signer interface","https://github.com/btcsuite/btcwallet/pull/1126","test-tooling","salvage-selectively"
"1127","interface-wallet-target","MERGED","interface-wallet","fix-unit-pkg","yyforyongyu/btcwallet","991a10c45fd77206acc1b8a6594df36f8aa52412","yyforyongyu","unit+wallet: add missing units and base units","https://github.com/btcsuite/btcwallet/pull/1127","test-tooling","salvage-selectively"
"1128","interface-wallet-target","MERGED","interface-wallet","psbt-1","yyforyongyu/btcwallet","543db229181765850afd66167a438c3902fdec65","yyforyongyu","wallet: add `PsbtManager` interface","https://github.com/btcsuite/btcwallet/pull/1128","public-refactor","defer-post-port"
"1129","interface-wallet-target","MERGED","interface-wallet","psbt-2","yyforyongyu/btcwallet","fda3db059988b3597869189fd8fdb42c9fd75b5f","yyforyongyu","wallet: implement `SignPsbt`","https://github.com/btcsuite/btcwallet/pull/1129","public-refactor","defer-post-port"
"1130","interface-wallet-target","MERGED","interface-wallet","psbt-interface","yyforyongyu/btcwallet","6382f26b9ebecc7788517ac2432b511859f3fec4","yyforyongyu","wallet: finalize `PsbtManager` implementation","https://github.com/btcsuite/btcwallet/pull/1130","public-refactor","defer-post-port"
"1137","interface-wallet-target","MERGED","interface-wallet","prep-controller","yyforyongyu/btcwallet","2eee3b64530105bc92813b4538eb2982c12076ca","yyforyongyu","Add helper methods for `WalletController`","https://github.com/btcsuite/btcwallet/pull/1137","runtime-rewrite","defer-post-port"
"1144","interface-wallet-target","MERGED","interface-wallet","controller-chain","yyforyongyu/btcwallet","6f5ca6fad1a5f45739fcb4370c477c4e73e753d8","yyforyongyu","Add RPC methods for `WalletController`","https://github.com/btcsuite/btcwallet/pull/1144","runtime-rewrite","defer-post-port"
"1145","interface-wallet-target","MERGED","interface-wallet","controller-cleanup","yyforyongyu/btcwallet","902d5e87b715c8281fe2129fc78d2f8ba603ccde","yyforyongyu","Clean up deprecated code for upcoming db impl","https://github.com/btcsuite/btcwallet/pull/1145","runtime-rewrite","defer-post-port"
"1146","interface-wallet-target","CLOSED","interface-wallet","controller-fix","yyforyongyu/btcwallet","92473f603edd5e398aa65cedca8d0f0ccfb0bb6a","yyforyongyu","Prepare upcoming `Controller`","https://github.com/btcsuite/btcwallet/pull/1146","runtime-rewrite","defer-post-port"
"1148","interface-wallet-target","MERGED","interface-wallet","controller-1-intro","yyforyongyu/btcwallet","17f455976a0783ff2eb41408e3f1b4da82b1ca54","yyforyongyu","Add docs and `Controller` interface","https://github.com/btcsuite/btcwallet/pull/1148","runtime-rewrite","defer-post-port"
"1152","interface-wallet-target","MERGED","interface-wallet","controller-fix","btcsuite/btcwallet","562c06e124a2ce47653d16be28ff6f51a78aa43b","yyforyongyu"," Prepare upcoming `Controller`","https://github.com/btcsuite/btcwallet/pull/1152","runtime-rewrite","defer-post-port"
"1155","interface-wallet-target","MERGED","interface-wallet","controller-2-recovery","btcsuite/btcwallet","b994bff55158ebed0ebf1af1469793105017dcdb","yyforyongyu","Separate DB operations from rescan logic","https://github.com/btcsuite/btcwallet/pull/1155","runtime-rewrite","defer-post-port"
"1156","interface-wallet-target","MERGED","interface-wallet","controller-3-methods","btcsuite/btcwallet","e406743bb05166c4f8478ae50c6ab642187ffeb1","yyforyongyu","Use new db methods in wallet controller","https://github.com/btcsuite/btcwallet/pull/1156","runtime-rewrite","defer-post-port"
"1157","interface-wallet-target","MERGED","interface-wallet","controller-4-syncer","btcsuite/btcwallet","0d7fc072054544d1f30b47696e61c4649d06292f","yyforyongyu","Use new db methods in wallet syncer","https://github.com/btcsuite/btcwallet/pull/1157","runtime-rewrite","defer-post-port"
"1159","interface-wallet-target","MERGED","interface-wallet","controller-5-tests","yyforyongyu/btcwallet","62ce6c897e668a4eba9b4610d0f1933af15d9ab1","yyforyongyu","Controller: patch more unit tests to increase the coverage rate","https://github.com/btcsuite/btcwallet/pull/1159","runtime-rewrite","defer-post-port"
"1160","interface-wallet-target","MERGED","interface-wallet","controller-6-cleanup","btcsuite/btcwallet","a8f3e2612ac6ac2928891f8a10c8aef1ba0df028","yyforyongyu","Cleanup deprecated code post `Controller` implementation","https://github.com/btcsuite/btcwallet/pull/1160","runtime-rewrite","defer-post-port"
"1161","interface-wallet-target","MERGED","interface-wallet","controller-7-final","yyforyongyu/btcwallet","a359ec7ebf53744988a02bfb875267508c91b10c","yyforyongyu","Finalize wallet creation via `Manager`","https://github.com/btcsuite/btcwallet/pull/1161","runtime-rewrite","defer-post-port"
"1164","interface-wallet-target","MERGED","interface-wallet","controller-bench","yyforyongyu/btcwallet","d3ff891dc18043c39536115981b1c6d8cc90ee07","yyforyongyu","Add benchmark for `Controller`","https://github.com/btcsuite/btcwallet/pull/1164","runtime-rewrite","defer-post-port"
"1051","sql-wallet-target","CLOSED","sql-wallet","feat/SQLization/add-db-schemas","GustavoStingelin/btcwallet","a1835d238c51b1cb5a85af9c6b2581625b7557f9","GustavoStingelin","design doc: waddrmgr: add sql schema doc for reference","https://github.com/btcsuite/btcwallet/pull/1051","sql-foundation","salvage-now"
"1065","sql-wallet-target","MERGED","sql-wallet","feat/SQLization/add-sqlc","GustavoStingelin/btcwallet","8b399ed141aba36d2f73140c1b282770312a7f34","GustavoStingelin","multi: add sqlc support","https://github.com/btcsuite/btcwallet/pull/1065","sql-foundation","salvage-now"
"1096","sql-wallet-target","CLOSED","sql-wallet","wallet-txs-sql-schema","mohamedawnallah/btcwallet","25c7b28c4e75716238902c82199fc040e4b2bd0a","mohamedawnallah","wtxmgr: design transactions manager SQL schema","https://github.com/btcsuite/btcwallet/pull/1096","sql-foundation","salvage-now"
"1099","sql-wallet-target","CLOSED","sql-wallet","sqldb/unified-migrations-view","GustavoStingelin/btcwallet","82e96dfa900f45fa59ecdb1066a292b42d3a4cd6","GustavoStingelin","multi: add script to merge SQL migrations into consolidated schemas","https://github.com/btcsuite/btcwallet/pull/1099","test-tooling","salvage-selectively"
"1101","sql-wallet-target","MERGED","sql-wallet","sqlize-blocks-dimension-table","mohamedawnallah/btcwallet","8aa6285d545014754a12a69aefc6d209465f5dcd","mohamedawnallah","Add blocks table structure to unblock address manager sqlization","https://github.com/btcsuite/btcwallet/pull/1101","sql-foundation","salvage-now"
"1111","sql-wallet-target","MERGED","sql-wallet","store-interface","yyforyongyu/btcwallet","2c7f7a1737305510f253724d3335735c7d57757a","yyforyongyu","wallet: introduce db layer interfaces","https://github.com/btcsuite/btcwallet/pull/1111","sql-foundation","salvage-now"
"1115","sql-wallet-target","MERGED","sql-wallet","sqldb/move-to-wallet-db","GustavoStingelin/btcwallet","8eade9119ab768f99954961666eaf1977685eee4","GustavoStingelin","wallet+Makefile: move sql db to wallet/internal","https://github.com/btcsuite/btcwallet/pull/1115","sql-foundation","salvage-now"
"1121","sql-wallet-target","MERGED","sql-wallet","sql-dbs-test-equivalence","mohamedawnallah/btcwallet","622ae45811eb8cbfb803eba2f4900314077636b4","mohamedawnallah","wallet: integrate `sqlfluff` metadev helpers","https://github.com/btcsuite/btcwallet/pull/1121","test-tooling","salvage-selectively"
"1125","sql-wallet-target","MERGED","sql-wallet","sqldb/add-wallet","GustavoStingelin/btcwallet","7b089c1eadf841516fd155e60532ae4b50a049fc","GustavoStingelin","wallet: implement WalletStore interface across PG and SQLite","https://github.com/btcsuite/btcwallet/pull/1125","sql-foundation","salvage-now"
"1131","sql-wallet-target","MERGED","sql-wallet","sqldb/refact-wallet-store-interface","GustavoStingelin/btcwallet","629cb474ab18ed40ada4972bb7996ee9a8031534","GustavoStingelin","wallet: refactor WalletStore interface and add common errors","https://github.com/btcsuite/btcwallet/pull/1131","sql-foundation","salvage-now"
"1132","sql-wallet-target","MERGED","sql-wallet","sqldb/add-store-commons","GustavoStingelin/btcwallet","d8f6592ae9a81c736cbb2aaa202a0778bfcb2753","GustavoStingelin","wallet: add store db constructors and safe-casting","https://github.com/btcsuite/btcwallet/pull/1132","sql-foundation","salvage-now"
"1134","sql-wallet-target","MERGED","sql-wallet","sqlize-blocks","mohamedawnallah/btcwallet","06691671a6e92de34dadc0e1370c4362c226edda","mohamedawnallah","[1/5] wallet: SQLize blocks table","https://github.com/btcsuite/btcwallet/pull/1134","sql-foundation","salvage-now"
"1135","sql-wallet-target","CLOSED","sql-wallet","sqlize-transactions","mohamedawnallah/btcwallet","35e274c7deb318282b2242abf558defa610b175b","mohamedawnallah","[2/5] wallet: SQLize transactions table","https://github.com/btcsuite/btcwallet/pull/1135","sql-foundation","salvage-now"
"1136","sql-wallet-target","MERGED","sql-wallet","sqldb/add-itest","GustavoStingelin/btcwallet","a18657b21319ef74c6ba59232b967ef94a173d26","GustavoStingelin","wallet: add sqldb itest","https://github.com/btcsuite/btcwallet/pull/1136","test-tooling","salvage-selectively"
"1138","sql-wallet-target","MERGED","sql-wallet","sqldb/add-addr-types","GustavoStingelin/btcwallet","25013c9d653533aa62f6e15042d4ed26531da864","GustavoStingelin","wallet: Implement address type store support","https://github.com/btcsuite/btcwallet/pull/1138","sql-foundation","salvage-now"
"1139","sql-wallet-target","MERGED","sql-wallet","sqldb/chore-wallet","GustavoStingelin/btcwallet","d9f0dfd080acbc71e1ea1c5e8bac87ee7367caee","GustavoStingelin","wallet: rename wallet sync table birthday to birthday_timestamp","https://github.com/btcsuite/btcwallet/pull/1139","sql-foundation","salvage-now"
"1141","sql-wallet-target","MERGED","sql-wallet","sqldb/fix-itest-pg","GustavoStingelin/btcwallet","85326cf6c6bb0dec06952fc1d7a69986624b0dcf","GustavoStingelin","wallet: fix pg itest ""too many clients""","https://github.com/btcsuite/btcwallet/pull/1141","test-tooling","salvage-selectively"
"1142","sql-wallet-target","MERGED","sql-wallet","sqldb/add-key-scope","GustavoStingelin/btcwallet","f6d9081c2d242eb2cc8203229ce1f4db2bbde1a5","GustavoStingelin","wallet: add key scope SQL migrations and queries","https://github.com/btcsuite/btcwallet/pull/1142","sql-foundation","salvage-now"
"1143","sql-wallet-target","MERGED","sql-wallet","sqldb/add-more-addr-types","GustavoStingelin/btcwallet","f3dbd33a8486405e07be1dc589937486fb8d5615","GustavoStingelin","wallet: add P2A and P2PK address types","https://github.com/btcsuite/btcwallet/pull/1143","sql-foundation","salvage-now"
"1147","sql-wallet-target","MERGED","sql-wallet","sqldb/add-accounts","GustavoStingelin/btcwallet","af9fb074e2c7fb9985914410c4e2765434a244da","GustavoStingelin","wallet: add AccountStore implementation","https://github.com/btcsuite/btcwallet/pull/1147","sql-foundation","salvage-now"
"1154","sql-wallet-target","OPEN","sql-wallet","docs/sqlc-scripts-documentation","EricGrill/btcwallet","78caa4d8b849e78a88f821883790afbe02929119","EricGrill","docs: add sqlc scripts documentation for developers","https://github.com/btcsuite/btcwallet/pull/1154","test-tooling","salvage-selectively"
"1158","sql-wallet-target","MERGED","sql-wallet","sqldb/add-itest-coverage","GustavoStingelin/btcwallet","bf55cd19c02337cd17c539619a45ec18c7567488","GustavoStingelin","multi: add coveralls for database integration tests","https://github.com/btcsuite/btcwallet/pull/1158","test-tooling","salvage-selectively"
"1162","sql-wallet-target","MERGED","sql-wallet","sqldb/add-addresses","GustavoStingelin/btcwallet","1a85fc7284520811f704154045b658d3c2e0933e","GustavoStingelin","wallet: implement AddressStore","https://github.com/btcsuite/btcwallet/pull/1162","sql-foundation","salvage-now"
"1165","sql-wallet-target","MERGED","sql-wallet","sql-tx-adr","yyforyongyu/btcwallet","4ae109927fae8922fb3e63cd0d77adf09276697c","yyforyongyu","Add design docs for transaction table schema","https://github.com/btcsuite/btcwallet/pull/1165","sql-foundation","salvage-now"
"1166","sql-wallet-target","MERGED","sql-wallet","sqldb/adr-cryptostore","GustavoStingelin/btcwallet","b36bf902ea3d99a87ca7fb769089cc26fb1a8e0a","GustavoStingelin","docs: add keyvault ADR","https://github.com/btcsuite/btcwallet/pull/1166","key-vault-signing-rewrite","defer-post-port"
"1168","sql-wallet-target","MERGED","sql-wallet","kvdb-utxo-0-init-store-v3","yyforyongyu/btcwallet","df4713fff724cddcaa575580edddef79d4cc866e","yyforyongyu","kvdb: start implementing `Store` interface","https://github.com/btcsuite/btcwallet/pull/1168","reusable-semantic-fix","salvage-after-parity-review"
"1169","sql-wallet-target","MERGED","sql-wallet","sqldb/fix-config-files","GustavoStingelin/btcwallet","b106ac3f22079dff86ae643e666dfbe70fa3c6fc","GustavoStingelin","multi: move tools config files back to root","https://github.com/btcsuite/btcwallet/pull/1169","test-tooling","salvage-selectively"
"1170","sql-wallet-target","MERGED","sql-wallet","sqldb/adr-single-passphrase-encryption","GustavoStingelin/btcwallet","7cd3a00a7037890908bb9623b6d9067dc36c2f98","GustavoStingelin","docs+README: add Single-Passphrase Encryption Model ADR","https://github.com/btcsuite/btcwallet/pull/1170","key-vault-signing-rewrite","defer-post-port"
"1171","sql-wallet-target","MERGED","sql-wallet","sqldb/adr-xchacha20","GustavoStingelin/btcwallet","796bd5fd85d1c4d826e3f7a5f8446c8ca2e73801","GustavoStingelin","docs: add XChaCha20-Poly1305 Encryption ADR","https://github.com/btcsuite/btcwallet/pull/1171","key-vault-signing-rewrite","defer-post-port"
"1172","sql-wallet-target","MERGED","sql-wallet","init-itest","btcsuite/btcwallet","2352866e84987931f46e52410aa7ad30cf1db298","yyforyongyu","itest: implement `lnd` style itest framework","https://github.com/btcsuite/btcwallet/pull/1172","test-tooling","salvage-selectively"
"1173","sql-wallet-target","MERGED","sql-wallet","finish-itest-framework","btcsuite/btcwallet","d3c67d46cea5076d3cc35eae4fe896be25d5d7ca","yyforyongyu","Finish itest framework","https://github.com/btcsuite/btcwallet/pull/1173","test-tooling","salvage-selectively"
"1174","sql-wallet-target","MERGED","sql-wallet","fix-flaky-pruned-block-test","yyforyongyu/btcwallet","f907857ce1d1d1e168b65b8ec81e7c42674a0312","yyforyongyu","chain: fix flaky `TestPrunedBlockDispatcherQuerySameBlock`","https://github.com/btcsuite/btcwallet/pull/1174","test-tooling","salvage-selectively"
"1181","sql-wallet-target","CLOSED","sql-wallet","test-ccc","btcsuite/btcwallet","87609b1d4ed02e37c2eb86480ab7584862d801bf","yyforyongyu","wallet: modernize architecture with interfaces, syncer, SQL store, and integration tests","https://github.com/btcsuite/btcwallet/pull/1181","superseded-work","source-only"
"1182","sql-wallet-target","MERGED","sql-wallet","sqldb/add-db-constructor","GustavoStingelin/btcwallet","6e8bb48c19374c513cc1e7742ad6de8323a76651","GustavoStingelin","wallet: add real db constructors out of itest","https://github.com/btcsuite/btcwallet/pull/1182","sql-foundation","salvage-now"
"1185","sql-wallet-target","MERGED","sql-wallet","adr-0006-wtxmgr-sql","yyforyongyu/btcwallet","35b29f0f74ae11fd85e3b8767a0ad8853a208a8e","yyforyongyu","wallet: introduce SQL schema and queries for txs and UTXOs","https://github.com/btcsuite/btcwallet/pull/1185","sql-foundation","salvage-now"
"1186","sql-wallet-target","MERGED","sql-wallet","adr-0006-impl","btcsuite/btcwallet","bf5af73b31e45ee8005f0f51cbfc8a5e61cc1e85","yyforyongyu","wallet: add SQL tx stores","https://github.com/btcsuite/btcwallet/pull/1186","reusable-semantic-fix","salvage-after-parity-review"
"1187","sql-wallet-target","MERGED","sql-wallet","adr-0006-enhance","btcsuite/btcwallet","b24e1f56bc5ad03a3d5bbb32b49855b78e19f28e","yyforyongyu","wallet: add SQL tx replacement and invalidation flows","https://github.com/btcsuite/btcwallet/pull/1187","reusable-semantic-fix","salvage-after-parity-review"
"1188","sql-wallet-target","MERGED","sql-wallet","wallet-runtime-id","yyforyongyu/btcwallet","183637bdaab2cdf6ee6d7171967b298a036d4881","yyforyongyu","Finalize wallet manager's `WalletID`","https://github.com/btcsuite/btcwallet/pull/1188","wallet-routing","rework-behind-current-api"
"1189","sql-wallet-target","MERGED","sql-wallet","sqldb/add-pagination","GustavoStingelin/btcwallet","2aac1d0fb9b0e5e8f5cf3f490cc99ec07e8e6fcb","GustavoStingelin","wallet: implement store pagination","https://github.com/btcsuite/btcwallet/pull/1189","reusable-semantic-fix","salvage-after-parity-review"
"1190","sql-wallet-target","MERGED","sql-wallet","fix-tidy-module","yyforyongyu/btcwallet","8e63058e71344eee4d03448802250d53d7587861","yyforyongyu","Fix `make tidy-module`","https://github.com/btcsuite/btcwallet/pull/1190","test-tooling","salvage-selectively"
"1192","sql-wallet-target","MERGED","sql-wallet","sqldb/fix-sql-store-pg-out-of-connections","GustavoStingelin/btcwallet","905e80049cf5b4d3f70bf4e2169d1d59fef73622","GustavoStingelin","wallet: fix pg itest connection exhaustion under parallelism","https://github.com/btcsuite/btcwallet/pull/1192","test-tooling","salvage-selectively"
"1193","sql-wallet-target","MERGED","sql-wallet","adr-0006-utxo","yyforyongyu/btcwallet","98ca8b3353dc1c5eed093545c3f43e1f089d198c","yyforyongyu","wallet: add SQL UTXO store","https://github.com/btcsuite/btcwallet/pull/1193","reusable-semantic-fix","salvage-after-parity-review"
"1195","sql-wallet-target","MERGED","sql-wallet","sql-wallet-bitcoind-startup-fix","yyforyongyu/btcwallet","4e08c92591ba66678a7481cbdf5a80d33018a9bf","yyforyongyu","bwtest: wait for miner p2p readiness","https://github.com/btcsuite/btcwallet/pull/1195","test-tooling","salvage-selectively"
"1196","sql-wallet-target","MERGED","sql-wallet","adr-0006-tests","yyforyongyu/btcwallet","9d276992e702c1c2e1ecb2323c8abf1b199167e0","yyforyongyu","wallet: add tx and utxo store coverage","https://github.com/btcsuite/btcwallet/pull/1196","reusable-semantic-fix","salvage-after-parity-review"
"1197","sql-wallet-target","MERGED","sql-wallet","adr-0006-impl-prep","btcsuite/btcwallet","2249a7e85baeb2ebb1741512b7411d6a7b67cac1","yyforyongyu","Update `TxStore` interface and add missing queries","https://github.com/btcsuite/btcwallet/pull/1197","reusable-semantic-fix","salvage-after-parity-review"
"1198","sql-wallet-target","MERGED","sql-wallet","sqldb/refactor-test-testing-the-name","GustavoStingelin/btcwallet","538178c93d384f3418b471dcc1890a00e2b80a45","GustavoStingelin","wallet: refactor itest testing his name","https://github.com/btcsuite/btcwallet/pull/1198","test-tooling","salvage-selectively"
"1199","sql-wallet-target","MERGED","sql-wallet","sql-wallet-pg-max-conns","yyforyongyu/btcwallet","21902c0ad08c9dc1da4cb56fd2638d6ed4c93a34","yyforyongyu","wallet: simplify postgres itest headroom and add repo guide","https://github.com/btcsuite/btcwallet/pull/1199","test-tooling","salvage-selectively"
"1200","sql-wallet-target","MERGED","sql-wallet","handle-sql-error","yyforyongyu/btcwallet","22bc8f1f90e06c23f196d8592f8235da0cb79454","yyforyongyu","wallet+db: handle SQL backend errors","https://github.com/btcsuite/btcwallet/pull/1200","reusable-semantic-fix","salvage-after-parity-review"
"1201","sql-wallet-target","MERGED","sql-wallet","impl-tx-writer-store","btcsuite/btcwallet","5082b49833d798c2898789341238f691521a3038","yyforyongyu","wallet: migrate LabelTx to db.Store","https://github.com/btcsuite/btcwallet/pull/1201","wallet-routing","rework-behind-current-api"
"1202","sql-wallet-target","MERGED","sql-wallet","impl-tx-reader-store","btcsuite/btcwallet","ccbf93d492f9e38fddd3197cc799e6286c49be94","yyforyongyu","wallet: migrate tx reader to db.Store","https://github.com/btcsuite/btcwallet/pull/1202","wallet-routing","rework-behind-current-api"
"1204","sql-wallet-target","MERGED","sql-wallet","prep-address-manager-store","yyforyongyu/btcwallet","51a887da4a14699b004c39fba01c892cbf5fcd2b","yyforyongyu","Prep address manager for store migration","https://github.com/btcsuite/btcwallet/pull/1204","wallet-routing","rework-behind-current-api"
"1206","sql-wallet-target","MERGED","sql-wallet","sqldb/improve-tests","GustavoStingelin/btcwallet","906f26e3dbb53bfe4211acd87398014dee7df518","GustavoStingelin","wallet: improve concurrent itests","https://github.com/btcsuite/btcwallet/pull/1206","test-tooling","salvage-selectively"
"1208","sql-wallet-target","MERGED","sql-wallet","pagination-api-cleanup","yyforyongyu/btcwallet","55bfe56fc72c2b14c6967a7400b0889f7daddee4","yyforyongyu","wallet: simplify pagination api","https://github.com/btcsuite/btcwallet/pull/1208","reusable-semantic-fix","salvage-after-parity-review"
"1209","sql-wallet-target","MERGED","sql-wallet","fix-1194-split-files","yyforyongyu/btcwallet","732b5116c33e9d2e9819aadb1e70dc22b522d863","yyforyongyu","db: split backend packages and SQL assets","https://github.com/btcsuite/btcwallet/pull/1209","reusable-semantic-fix","salvage-after-parity-review"
"1210","sql-wallet-target","MERGED","sql-wallet","sqldb/fix-missing-drop-stmt","GustavoStingelin/btcwallet","51769a5f72ddec06739ca200d15fef3170943c71","GustavoStingelin","wallet: fix missing drop statements","https://github.com/btcsuite/btcwallet/pull/1210","reusable-semantic-fix","salvage-after-parity-review"
"1211","sql-wallet-target","MERGED","sql-wallet","prep-kvdb-deprecate","btcsuite/btcwallet","7bf8f6439198da39da9b15189b250b44cc7c5036","yyforyongyu","wallet: move legacy helpers to deprecated","https://github.com/btcsuite/btcwallet/pull/1211","public-refactor","defer-post-port"
